Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Carsen Edwards,44,14,25,0.56,4,6,0.667,10,19,0.526,4,4,1,0,2,2,0,0,0,4,3,42
Ryan Cline,44,2,7,0.286,0,2,0,2,5,0.4,1,2,0.5,0,3,3,1,0,0,0,2,7
Matt Haarms,37,3,6,0.5,3,5,0.6,0,1,0,0,0,,1,2,3,2,0,3,2,1,6
Nojel Eastern,31,3,5,0.6,3,5,0.6,0,0,,1,2,0.5,2,2,4,3,0,0,0,2,7
Grady Eifert,18,0,1,0,0,0,,0,1,0,0,0,,1,2,3,2,0,0,0,1,0
Aaron Wheeler,22,1,4,0.25,0,0,,1,4,0.25,1,2,0.5,2,4,6,1,1,1,0,2,4
Trevion Williams,16,2,4,0.5,2,4,0.5,0,0,,0,0,,1,6,7,0,0,1,2,4,4
Eric Hunter Jr.,12,2,3,0.667,1,1,1,1,2,0.5,0,0,,0,2,2,0,0,0,0,2,5
Sasha Stefanovic,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
